NOMENUM;ARIMA RMSE;LSTM RMSE;Prophet RMSE;ARIMA R2;LSTM R2;Prophet R2
Nova Santa Rita;446.99558661486645;882.6920852685346;705.258693596491;-0.46948204327321297;0.9882784509505094;-1293.2124907963996
Alto Paraná;283.03357256088134;3054.9933317838077;134.2996279123722;-8.229161027584645;0.859593543968072;-1328.7908139843255
Itapoá;284.95442116444286;1862.8328929423617;102.97301275973722;-5.8900990980906505;0.9477947307436577;-1300.3444067247692
Peabiru;213.02088499985587;11569.888270797748;60.57186658424123;-4.907742034309338;-1.0138395898882249;-1321.8730881212498
Anhembi;19.00248619843658;8201.788516497578;45.43397621259575;-35.82308469067664;-0.012007376022320493;-1351.002942950707
Bataguassu;211.63393526745102;7361.13383245289;402.396909529295;-3.415261050631047;0.18481539053908191;-1317.8742886790174
Marapanim;66.29487917527229;1205.7605895240795;170.78938241864572;-1.2732359313535895;0.9781279890905497;-1343.716423943581
Pedra Branca do Amapari;1330.2628092303528;17141.09358098816;628.5115351387097;-52.39211193542558;-3.420217057310319;-1312.639964573483
Pastos Bons;inf;18909.551672218156;121.00631731368405;-inf;-4.3793401753289976;-1347.408846412286
Caldeirão Grande do Piauí;1.2323805713429445;17771.354353731444;46.67284515964813;-1.1750850826629692e+26;-3.7512468811596076;-1350.1030670897467
Cabedelo;147.1854345220659;5240.7422416684485;851.786992577383;0.7972788985782839;0.5868077715683588;-1228.8458002214238
Catingueira;9.68861858252854;8301.5588305203;56.71889742104666;-2.502988997956181;-0.03677816980506754;-1351.7501014394616
São Joaquim do Monte;151.89989617923365;6507.063614078013;155.7933256515874;-5.2296156198444015;0.3630040820525223;-1336.6811032675353
Major Isidoro;68.47476314459375;2193.072716501068;140.97881251573986;-3.074558687733818;0.9276443235231425;-1343.2573833309673
Murici;50.513368699582166;3615.416215539641;108.25217776936366;-2.5599227159746007;0.8033548917358231;-1343.472146264237
Brejo Grande;16.39701678759294;2788.5476705391666;44.5475612930746;-2.03403466517934;0.8830170171978194;-1349.5402503517487
Buritizeiro;510.30913360706745;1084.3460061542196;343.3792285822593;-2.515326264873352;0.9823110394761652;-1329.8843916904614
Dobrada;2.5056955863871004;18259.468235165514;32.61783511359367;-8.596443704450406;-4.015829846917326;-1349.5740177442765
Ouro Verde;1408.127485917142;19110.614140884176;315.2983203633226;-15084.890102259998;-4.494343808689471;-1342.769044649168
São José da Boa Vista;2.2910594492858446e+63;2787.5104065050855;89.37261531709477;-2.9876339481633394e+123;0.8831040299994525;-1343.5597819945567
Gaúcha do Norte;299.3980308663025;11499.653792396584;177.63980315430808;-2.1682879948406764;-0.9894639581803577;-1334.5333807981917
Ponte Branca;1.8637025404387006;2681.1970459553827;19.1570825079079;-2.834508325284043;0.8918506263003884;-1352.044768554186
Bom Jardim de Goiás;383.6254660469364;7489.894525813278;217.35443902157877;-2.1054856213670674;0.15604760858572175;-1336.7908779794327
Santo Anastácio;791.311702713132;361.95975380483037;704.140325069295;-5.9170716475695295;0.9980289977838935;-1331.18867406634
Planaltino;140.27830529870187;5031.767052494047;155.90012517912078;-2.585856126698462;0.6191029593570176;-1347.3654209098643
Quiterianópolis;184.61539497281476;105830.91268598243;96.28027853468343;-5.349697949960061;-167.49678831690954;-1335.8237033718365
Rosário Oeste;745.2568329121427;10068.040978115012;485.0761961175629;-1.5461954063024121;-0.5249531216518679;-1330.525962123692
Lucrécia;101.97805655295093;3473.5793814964886;52.60708997704148;-0.23121127954021659;0.818481455403475;-1346.1049254057393
Pitangueiras;39.30847116142449;6083.315997830751;62.07260332008083;-2.1708379620018032;0.4432665735874154;-1348.17571250168
Rio Tinto;220.3739932088253;5250.1333990073845;223.06799327540455;-0.5517586969689758;0.5853256036798233;-1315.3265599975648
Bodocó;2197.968535942187;110159.05906163031;183.8237868110723;-134.70542021555482;-181.56056856933296;-1327.3956199488962
São José do Jacuípe;66.93092070338349;157021.74471437448;82.10685368354326;-2.5429105366331326;-369.92503089713455;-1349.3511109688325
Baependi;431.5390567327699;9274.708186229755;489.93602728387015;-1.4298761630863308;-0.2940976618702855;-1329.0398830012534
Caconde;405.2264292124849;9459.097298741555;473.1074225212892;-1.1806086481794438;-0.3460646832538925;-1331.2536819590864
Atalanta;54.30467398197438;2855.7669390289047;44.256953620493285;-1042.0458123267474;0.8773091805018081;-1346.8307121103992
Jaguaruna;62.511620019160105;8479.499195947812;304.5638293589453;-0.17730267539540834;-0.08170030199999889;-1315.0133168507896
Sertânia;82.1969071651233;14336.377688324026;303.17603705944106;0.4014950576698879;-2.092042196277183;-1323.5644757577966
Mogi Mirim;1006.0294887226947;1974.53298334525;1257.2408281641326;0.12929034228445846;0.9413463113095866;-1141.658273397849
Água Clara;484.42113521353;10612.531161000177;916.021027475055;-2.0449826766347234;-0.694355361277585;-1317.6643513339852
Brejo do Cruz;19.696156568896075;10140.08320386457;158.0549339475179;-1.7439896879167462;-0.5468549145621386;-1335.522328963374
Quatis;111.09962847254623;2350.660552609913;100.4584804657413;-0.9281287908300788;0.9168721816285819;-1341.0174529031447
Juquitiba;32.73076151853055;32737.026128098692;312.4813407379123;-17.862949213482043;-15.122968085724661;-1336.914869541835
São Miguel do Guamá;83.13316116963684;70574.64417991156;651.2763616290625;-259.2709170266193;-73.93141583860854;-1300.8251805802654
São João das Missões;1.7721198697026337;17028.528313650648;10.46601380704179;-6.074434114991657e+25;-3.362352701241985;-1350.73027274686
